"phenotype","symbol"
"Leigh syndrome due to mitochondrial COX4 deficiency, 256000 (3)","COX10"
"Bile acid synthesis defect, congenital, 1, 607765 (3)","CBAS1"
"Combined oxidative phosphorylation deficiency 33, 617713 (3)","C1QBP"
"Epilepsy, progressive myoclonic 2A (Lafora), 254780 (3)","EPM2"
"{Rhabdoid tumor predisposition syndrome 2}, 613325 (3)","MRD16"
"?Neutropenia, severe congenital 2, autosomal dominant, 613107 (3)","ZNF163"
"Atrial fibrillation, familial, 9, 613980 (3)","SQT3"
"?Glycine encephalopathy, 605899 (3)","GCSH"
"Pseudohypoparathyroidism Ib, 603233 (3)","PITA3"
"Basel-Vanagait-Smirin-Yosef syndrome, 616449 (3)","MED25"
"?Myasthenic syndrome, congenital, 2C, associated with acetylcholine receptor deficiency, 616314 (3)","SCCMS"
"Hypercholanemia, familial, 607748 (3)","PFIC4"
"[Sprinting performance], 617749 (3)","ACTN3D"
"Epidermolysis bullosa, junctional, non-Herlitz type, 226650 (3)","LAMC2"
"{Hirschsprung disease, susceptibility to, 2}, 600155 (3)","HSCR2"
"Myasthenic syndrome, congenital, 9, associated with acetylcholine receptor deficiency, 616325 (3)","FADS"
"Epidermodysplasia verruciformis, 226400 (3)","EV2"
"Glycogen storage disease Ib, 232220 (3)","G6PT1"
"{Diabetes mellitus, noninsulin-dependent, association with}, 125853 (3)","WFS"
"Infantile neuroaxonal dystrophy 1, 256600 (3)","INAD1"
"[Bone mineral density QTL 15], 613418 (3)","MIRN2861"
"{Asperger syndrome susceptibility 2} (2)","ASPG2"
"{Epilepsy, idiopathic generalized, susceptibility to, 7} (2)","EJM2"
"Osteosarcoma, 259500 (3)","BCC7"
"Pheochromocytoma, 171300 (3)","PGL1"
"Osteogenesis imperfecta, type X, 613848 (3)","SERPINH1"
"Dyschromatosis universalis hereditaria 3, 615402 (3)","LAN"
"Ehlers-Danlos syndrome, classic type, 2, 130010 (3)","EDSCL2"
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 9, 616538 (3)","DAG"
"Emery-Dreifuss muscular dystrophy 7, AD, 614302 (3)","TMEM43"
"Laurin-Sandrow syndrome, 135750 (3)","PPD2"
"Menkes disease, 309400 (3)","OHS"
"?Cataract 41, 116400 (3)","WFS1"
"Charcot-Marie-Tooth disease, axonal, type 2A2B, 617087 (3)","CMT2A2A"
"Brown-Vialetto-Van Laere syndrome 2, 614707 (3)","BVVLS2"
"WHIM syndrome, 193670 (3)","NPY3R"
"Van Maldergem syndrome 2, 615546 (3)","HKLLS2"
"Ciliary dyskinesia, primary, 27, 615504 (3)","CCDC65"
"Cone-rod dystrophy, X-linked, 3, 300476 (3)","OA2"
"Orofacial cleft 8, 618149 (3)","TP73L"
"Cardiomyopathy, hypertrophic, 1, 192600 (3)","SPMD"
"Arterial calcification, generalized, of infancy, 2, 614473 (3)","MLP1"
"Beckwith-Wiedemann syndrome, 130650 (3)","D11S813E"
"Microcephaly-capillary malformation syndrome, 614261 (3)","STAMBP"
"Autoimmune disease, multisystem, infantile-onset, 2, 617006 (3)","ADMIO2"
"?Bardet-Biedl syndrome 11, 615988 (3)","HT2A"
"Meier-Gorlin syndrome 3, 613803 (3)","ORC6"
"Mental retardation syndrome, X-linked, Siderius type, 300263 (3)","PHF8"
"{Debrisoquine sensitivity}, 608902 (3)","P450DB1"
"?FG syndrome 2, 300321 (3)","CSBS"
"Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia, 608030 (3)","FUS"
"Dyschromatosis symmetrica hereditaria, 127400 (3)","DSRAD"
"Ectodermal dysplasia/short stature syndrome, 616029 (3)","DFNA28"
"Hemolytic anemia due to glutathione synthetase deficiency, 231900 (3)","GSS"
"Anemia, sideroblastic, with ataxia, 301310 (3)","ASAT"
"{Obesity, susceptibility to}, 601665 (3)","PCA1"
"Glycerol kinase deficiency, 307030 (3)","GK"
"?Congenital disorder of glycosylation, type IIq, 617395 (3)","CDG2Q"
"Ciliary dyskinesia, primary, 20, 615067 (3)","CCDC114"
"Microcephaly 2, primary, autosomal recessive, with or without cortical malformations, 604317 (3)","MCPH2"
"Cerebellar ataxia and mental retardation with or without quadrupedal locomotion 3, 613227 (3)","CARP"
"Charcot-Marie-Tooth disease, recessive intermediate C, 615376 (3)","DSMA4"
"Pontocerebellar hypoplasia type 1A, 607596 (3)","VRK1"
"{Prostate cancer, susceptibility to, 3}, 176807 (2)","HPC3"
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 6, 615156 (3)","KIAA0083"
"Cutis laxa, autosomal recessive, type IA, 219100 (3)","ADCL2"
"Pseudo-TORCH syndrome 2, 617397 (3)","ISG43"
"Alzheimer disease 17 (2)","AD17"
"Bone marrow failure syndrome 2, 615715 (3)","BMFS2"
"Polymicrogyria, bilateral frontoparietal, 606854 (3)","TM7XN1"
"Rett syndrome, preserved speech variant, 312750 (3)","MRXSL"
"Hermansky-Pudlak syndrome 8, 614077 (3)","HPS8"
"Coenzyme Q10 deficiency, primary, 2, 614651 (3)","TPT"
"Left ventricular noncompaction 4, 613424 (3)","ASD5"
"Epiphyseal dysplasia, multiple, with myopia and deafness, 132450 (3)","COL2A1"
"Erythrokeratodermia variabilis et progressiva 5, 617756 (3)","KRT83"
"Hepatocellular carcinoma, somatic, 114550 (3)","TP53"
"Kufor-Rakeb syndrome, 606693 (3)","PARK9"
"Orotic aciduria, 258900 (3)","OPRT"
"Combined oxidative phosphorylation deficiency 10, 614702 (3)","COXPD10"
"Foveal hypoplasia 1, 136520 (3)","AN2"
"Parastremmatic dwarfism, 168400 (3)","SMAL"
"Cardiac arrhythmia, ankyrin-B-related, 600919 (3)","ANK2"
"Immunodeficiency 41 with lymphoproliferation and autoimmunity, 606367 (3)","IL2R"
"C1q deficiency, 613652 (3)","C1QG"
"Macular degeneration, X-linked atrophic, 300834 (3)","CORDX1"
"?Hermansky-pudlak syndrome 9, 614171 (3)","BLOC1S6"
"Mesomelia-synostoses syndrome (4)","C8DELq13"
"Auriculocondylar syndrome 2, 614669 (3)","ARCND2"
"Epilepsy, generalized, with febrile seizures plus, type 2, 604403 (3)","FEB3A"
"Epidermolysis bullosa simplex, generalized, with scarring and hair loss, 617294 (3)","KRIP6"
"Hyperekplexia 2, 614619 (3)","GLRB"
"Becker muscular dystrophy, 300376 (3)","CMD3B"
"Gardner syndrome, 175100 (3)","GS"
"{Malignant hyperthermia susceptibility 4} (2)","MHS4"
"Proliferative vasculopathy and hydranencephaly-hydrocephaly syndrome, 225790 (3)","FLVCR2"
"Pigmented paravenous chorioretinal atrophy, 172870 (3)","CRB1"
"2-aminoadipic 2-oxoadipic aciduria, 204750 (3)","CMT2Q"
"Cataract 22, 609741 (3)","CATCN2"
"Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia, 208920 (3)","AOA"
"{Menarche, age at, QTL2} (2)","MENAQ2"
"Keratoconus 1, 148300 (3)","RINX"
"Pontocerebellar hypoplasia, type 2E, 615851 (3)","PCH2E"
"Ataxia-telangiectasia, 208900 (3)","ATM"
"{Multiple myeloma, susceptibility to}, 254500 (3)","CCND1"
"[Skin/hair/eye pigmentation 6, blue/green eyes], 210750 (3)","AI2A5"
"Febrile seizures, familial, 11, 614418 (3)","CPAH"
"{Autism, susceptibility to, X-linked 5}, 300847 (3)","MRXS35"
"{Basal cell carcinoma, susceptibility to, 1} (2)","BCC1"
"{HIV-1 disease, rapid progression of} (3)","TCP228"
"Cataract 20, multiple types, 116100 (3)","CRYGS"
"Tooth agenesis, selective, X-linked 1, 313500 (3)","STHAGX1"
"Chromosome 3q13.31 deletion syndrome (4)","C13DELq13.31"
"Anemia, sideroblastic, 3, pyridoxine-refractory, 616860 (3)","PRSA"
"Spinocerebellar ataxia 44, 617691 (3)","SCA44"
"[Bone mineral density variability 1], 601884 (3)","BMND1"
"Mental retardation, autosomal dominant 13, 614563 (3)","CMT20"
"Charcot-Marie-Tooth disease, type 2B1, 605588 (3)","FPLD2"
"Epilepsy, generalized, with febrile seizures plus, type 2, 604403 (3)","GEFSP2"
"Pituitary tumor, invasive (3)","PRKCA"
"{Diabetes, type 1, susceptibility to}, 222100 (3)","PTPN8"
"{HIV infection, susceptibility/resistance to} (3)","CMKBR2"
"Ehlers-Danlos syndrome, arthrochalasia type, 1, 130060 (3)","OI1"
"Heimler syndrome 1, 234580 (3)","HMLR1"
"Structural heart defects and renal anomalies syndrome, 617478 (3)","SHDRA"
"Nephrotic syndrome, type 15, 617609 (3)","AIP1"
"Esophageal carcinoma, somatic, 133239 (3)","DCC"
"Retinal cone dystrophy 3B, 610356 (3)","KCNV2"
"Meckel syndrome 4, 611134 (3)","LCA10"
"Weill-Marchesani syndrome 2, dominant, 608328 (3)","FBN1"
"Char syndrome, 169100 (3)","TFAP2B"
"Cold-induced sweating syndrome 1, 272430 (3)","CISS1"
"Deafness, autosomal recessive 12, 601386 (3)","DFNB12"
"?Bardet-Biedl syndrome 20, 617119 (3)","CCDC2"
"Myopathy, actin, congenital, with excess of thin myofilaments, 161800 (3)","ACTA1"
"Leukoencephalopathy, progressive, with ovarian failure, 615889 (3)","LKENP"
"Glycogen storage disease II, 232300 (3)","GAA"
"Microcephaly 1, primary, autosomal recessive, 251200 (3)","MCPH1"
"Visceral myopathy, 155310 (3)","ACTA3"
"Combined oxidative phosphorylation deficiency 12, 614924 (3)","EARS2"
"Parathyroid carcinoma, 608266 (3)","C1orf28"
"Glycogen storage disease XI, 612933 (3)","LDHA"
"Polycythemia vera, somatic, 263300 (3)","THCYT3"
"Hemoglobin H disease, nondeletional, 613978 (3)","METHBA"
"Silver-Russell syndrome (4)","RSS"
"Cardiomyopathy, dilated, 1DD, 613172 (3)","RBM20"
"{Esophagitis, eosinophilic, 2} (2)","EOE2"
"Congenital disorder of glycosylation, type IIb, 606056 (3)","CDG2B"
"Werner syndrome, 277700 (3)","RECQL2"
"{Sick sinus syndrome 3}, 614090 (3)","CMD1EE"
"{Thyroid cancer, nonmedullary, 2}, 188470 (3)","SRGAP1"
"Restrictive dermopathy, lethal, 275210 (3)","FPLD2"
"COACH syndrome, 216360 (3)","MKS6"
"Tooth agenesis, selective, 4, 150400 (3)","WNT10A"
"Microcephaly-capillary malformation syndrome, 614261 (3)","MICCAP"
"Gastric cancer, somatic, 613659 (3)","MCH4"
"Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies, 617527 (3)","NDMSBA"
"Immunodeficiency 8, 615401 (3)","IMD8"
"Cerebral creatine deficiency syndrome 3, 612718 (3)","GATM"
"Myeloproliferative disorder with eosinophilia, 131440 (4)","PDGFR"
"Mucopolysaccharidosis type IVB (Morquio), 253010 (3)","GLB1"
"Spinal muscular atrophy with progressive myoclonic epilepsy, 159950 (3)","AC"
"Dysautonomia, familial, 223900 (3)","IKBKAP"
"Gerstmann-Straussler disease, 137440 (3)","CJD"
"{Hypothalamic hamartomas, somatic}, 241800 (3)","PAPA"
"Renal-hepatic-pancreatic dysplasia 1, 208540 (3)","NPH3"
"{Psoriatic arthritis, susceptibility to}, 607507 (3)","LTA"
"Immunodeficiency 27B, mycobacteriosis, AD, 615978 (3)","IMD27B"
"Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies, 617527 (3)","PLAA"
"Hypocalcemia, autosomal dominant, with Bartter syndrome, 601198 (3)","EIG8"
"Spastic paraplegia 30, autosomal recessive, 610357 (3)","UNC104"
"Hepatic venoocclusive disease with immunodeficiency, 235550 (3)","SP110"
"Myopia 23, autosomal recessive, 615431 (3)","LRPAP1"
"?Exercise intolerance, riboflavin-responsive, 616839 (3)","RREI"
"Moyamoya disease 3 (2)","MYMY3"
"{Asthma, susceptibility to, 2}, 608584 (3)","PGR14"
"Intellectual developmental disorder with dysmorphic facies, speech delay, and T-cell abnormalities, 618092 (3)","BCL11B"
"Cataract 31, multiple types, 605387 (3)","CTRCT31"
"Chronic granulomatous disease, X-linked, 306400 (3)","CYBB"
"Ciliary dyskinesia, primary, 24, 615481 (3)","TSGA2"
"{Diabetes mellitus, insulin-dependent, 24} (2)","IDDM24"
"{Hydrops fetalis, nonimmune, and/or atrial septal defect}, 617300 (3)","HFASD"
"{Meconium ileus in cystic fibrosis, susceptibility to} (2)","CFM1"
"Apert syndrome, 101200 (3)","BEK"
"Central hypoventilation syndrome, congenital, with or without Hirschsprung disease, 209880 (3)","NBLST2"
"Periodontitis 1, juvenile, 170650 (3)","JPD"
"?Mitochondrial complex V (ATP synthase) deficiency, nuclear type 3, 614053 (3)","MC5DN3"
"Iron-refractory iron deficiency anemia, 206200 (3)","TMPRSS6"
"Spondylometaphyseal dysplasia, corner fracture type, 184255 (3)","GFND2"
"Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency, 202010 (3)","P450C11"
"Scoliosis, idiopathic 2 (2)","IS2"
"Deafness, autosomal dominant 4A, 600652 (3)","KIAA2034"
"Succinic semialdehyde dehydrogenase deficiency, 271980 (3)","SSADH"
"?Roifman-Chitayat syndrome (2)","RCHTS"
"Osteopetrosis, autosomal dominant 2, 166600 (3)","OPTA2"
"Steel syndrome, 615155 (3)","STLS"
"{Budd-Chiari syndrome}, 600880 (3)","F5"
"Singleton-Merten syndrome 2, 616298 (3)","DDX58"
"Brachydactyly, type A1, D, 616849 (3)","BDA2"
"Epilepsy, familial temporal lobe, 4 (2)","ETOLM"
"Epileptic encephalopathy, early infantile, 34, 616645 (3)","KCC2"
"Thrombocytopenia, neonatal alloimmune (3)","GP3A"
"{Low density lipoprotein cholesterol level QTL 1}, 603776 (3)","PCSK9"
"HSAN2D, autosomal recessive, 243000 (3)","HSAN2D"
"{Microvascular complications of diabetes 6}, 612634 (3)","MVCD6"
"Cryohydrocytosis, 185020 (3)","AE1"
"Cataract 11, multiple types, 610623 (3)","ASGD1"
"Cowden syndrome 5, 615108 (3)","CLOVE"
"Protoporphyria, erythropoietic, 1, 177000 (3)","EPP1"
"Klippel-Feil syndrome 1, autosomal dominant, 118100 (3)","MCOP4"
"Pick disease, 172700 (3)","DDPAC"
"Symmetric circumferential skin creases, congenital, 2, 616734 (3)","EB2"
"?Mitochondrial complex V (ATP synthase) deficiency, nuclear type 1, 604273 (3)","ATPAF2"
"Ehlers-Danlos syndrome, kyphoscoliotic type, 1, 225400 (3)","LH1"
"White-Sutton syndrome, 616364 (3)","MRD37"
"Cone-rod retinal dystrophy-2, 120970 (3)","CRD"
"Pseudohypoparathyroidism Ic, 612462 (3)","PHP1A"
"?Glucocorticoid deficiency 5, 617825 (3)","TXNRD2"
"{Kaposi sarcoma, susceptibility to}, 148000 (3)","IFNB2"
"Brown-Vialetto-Van Laere syndrome 2, 614707 (3)","PAR1"
"Hypophosphatemic rickets, autosomal dominant, 193100 (3)","HFTC2"
"Erythroderma, congenital, with palmoplantar keratoderma, hypotrichosis, and hyper IgE, 615508 (3)","PPKS1"
"Hyperkalemic periodic paralysis, type 2, 170500 (3)","HYPP"
"Deafness, autosomal dominant 65, 616044 (3)","KIAA1171"
"?Orofacial cleft 15, 616788 (3)","OFC15"
"Glutaric acidemia IIB, 231680 (3)","ETFB"
"{Osteoporosis, early-onset, susceptibility to, autosomal dominant}, 615221 (3)","OI15"
"[Earwax, wet/dry], 117800 (3)","MRP8"
"B-cell expansion with NFKB and T-cell anergy, 616452 (3)","CARD11"
"Cone-rod dystrophy 15, 613660 (3)","CDHR1"
"LADD syndrome, 149730 (3)","TK14"
"Combined D-2- and L-2-hydroxyglutaric aciduria, 615182 (3)","D2L2AD"
"Jackson-Weiss syndrome, 123150 (3)","JWS"
"{Rhabdoid tumor predisposition syndrome 1}, 609322 (3)","RTPS1"
"Chondrodysplasia with joint dislocations, GPAPP type, 614078 (3)","GPAPP"
"Macular dystrophy, North Carolina type, 136550 (3)","DHS6S1"
"Cranioectodermal dysplasia 1, 218330 (3)","WDR10"
"Beckwith-Wiedemann syndrome, 130650 (3)","ICR1"
"Cataract 16, multiple types, 613763 (3)","CRYAB"
"{?Schizophrenia susceptibility 18}, 615232 (3)","SCZD18"
"Leydig cell adenoma, somatic, with precocious puberty, 176410 (3)","LHCGR"
"Nasopharyngeal carcinoma, somatic, 607107 (3)","BMFS5"
"Chromosome 17q12 duplication syndrome (4)","C17DUPq12"
"Erythrokeratodermia variabilis et progressiva 3, 617525 (3)","AVSD3"
"[Blood group, Indian system], 609027 (3)","MDU2"
"?Muscular dystrophy, congenital, Davignon-Chauveau type, 617066 (3)","SMABF1"
"Retinitis pigmentosa 74, 616562 (3)","BBS2"
"{Lung cancer susceptibility 2}, 612052 (3)","CHRNA5"
"Cataract 10, multiple types, 600881 (3)","CTRCT10"
"{Placental abruption} (3)","NOS3"
"ZTTK syndrome, 617140 (3)","TOKIMS"
"?Myasthenic syndrome, congenital, 17, 616304 (3)","SOST2"
"Cardiomyopathy, hypertrophic, 7, 613690 (3)","CMH7"
"McCune-Albright syndrome, somatic, mosaic 174800 (3)","GPSA"
"Joubert syndrome 18, 614815 (3)","JBTS18"
"?Spastic paraplegia 72, autosomal recessive, 615625 (3)","REEP2"
"Mental retardation, X-linked, syndromic 13, 300055 (3)","MRX16"
"Glaucoma 1B, primary open angle, adult onset, (2)","GLC1B"
"{Melanoma, cutaneous malignant, susceptibility to, 10}, 615848 (3)","GLM9"
"Gaucher disease, type IIIC, 231005 (3)","GBA"
"Spinocerebellar ataxia, autosomal recessive 14, 615386 (3)","SPTBN2"
"{Glioma susceptibility 1}, 137800 (3)","LFS1"
"Hemophagocytic lymphohistiocytosis, familial, 5, 613101 (3)","FHL5"
"[Hereditary persistence of alpha-fetoprotein], 615970 (3)","AFPD"
"Hypotrichosis 9 (2)","HYPT9"
"Otopalatodigital syndrome, type II, 304120 (3)","OPD2"
"Adrenocortical insufficiency, 612964 (3)","SF1"
"Takenouchi-Kosaki syndrome, 616737 (3)","CDC42"
"Neurodevelopmental disorder with movement abnormalities, abnormal gait, and autistic features, 617865 (3)","NEDMAGA"
"Myopathy, distal, 5, 617030 (3)","ADSSL1"
"{Hemolytic uremic syndrome, atypical, susceptibility to}, 235400 (3)","HLF4"
"Pancreatic cancer, somatic 260350 (3)","LFS1"
"{Kawasaki disease, susceptibility to}, 611775 (3)","ITPKC"
"Hyperuricemic nephropathy, familial juvenile, 4, 617056 (3)","SEC61A1"
"Weyers acrofacial dysostosis, 193530 (3)","WAD"
"Blue cone monochromacy, 303700 (3)","OPN1MW"
"?Combined oxidative phosphorylation deficiency 16, 615395 (3)","COXPD16"
"Ichthyosis, spastic quadriplegia, and mental retardation, 614457 (3)","ADMD"
"Atrial septal defect 9, 614475 (3)","ASD9"
"Welander distal myopathy, 604454 (3)","TIA1"
"Otospondylomegaepiphyseal dysplasia, autosomal recessive, 215150 (3)","OSMEDB"
"{Drug-induced liver injury due to flucloxacillin} (3)","SPDA1"
"{Adiponectin, serum level of, QTL5] (2)","ADIPQTL5"
"Ciliary dyskinesia, primary, 33, 616726 (3)","CILD33"
"{Systemic lupus erythematosus, susceptibility to, 9}, 610927 (3)","CVID7"
"Spastic paraplegia 46, autosomal recessive, 614409 (3)","KIAA1605"
"{Amyotrophic lateral sclerosis, susceptibility to, 25}, 617921 (3)","ALS25"
"Atrioventricular septal defect 4, 614430 (3)","VSD1"
"Pulmonary fibrosis and/or bone marrow failure, telomere-related, 3, 616373 (3)","PFBMFT3"
"?Brugada syndrome 6, 613119 (3)","KCNE3"
"Spastic paraplegia 10, autosomal dominant, 604187 (3)","NKHC"
"Cerebrocostomandibular syndrome, 117650 (3)","CCMS"
"Folate malabsorption, hereditary, 229050 (3)","HCP1"
"?Retinitis pigmentosa 81, 617871 (3)","IFT43"
"Bleeding disorder, platelet-type, 17, 187900 (3)","BDPLT17"
"{Migraine, familial hemiplegic, 4} (2)","FHM3"
"Retinitis pigmentosa 71, 616394 (3)","SRTD10"
"Bardet-Biedl syndrome 2, 615981 (3)","BBS2"
"Laurin-Sandrow syndrome, 135750 (3)","THYP"
"Mental retardation, X-linked, syndromic, 35, 300998 (3)","DXS648"
"Methylmalonic aciduria and homocystinuria, cblJ type, 614857 (3)","PXMP1L"
"{Prostate cancer, susceptibility to, somatic}, 176807 (3)","ATBF1"
"?Avascular necrosis of femoral head, primary, 2, 617383 (3)","HMSN2C"
"Neurodegeneration with brain iron accumulation 4, 614298 (3)","C19orf12"
"C1q deficiency, 613652 (3)","C1QB"
"Aneurysm, intracranial berry, 8 (2)","ANIB8"
"{Amyotrophic lateral sclerosis-parkinsonism/dementia complex, susceptibility to}, 105500 (3)","ALSPDC"
"Hypogonadotropic hypogonadism 19 with or without anosmia, 615269 (3)","MKP3"
"Li-Fraumeni syndrome, 609265 (3)","CHK2"
"Chromosome 5q14.3 deletion syndrome, 613443 (4)","MEF2C"
"Heart-hand syndrome, Slovenian type, 610140 (3)","FPLD2"
"Porencephaly 1, 175780 (3)","BSVD"
"Cardiomyopathy, dilated, 1II, 615184 (3)","CTRCT16"
"Macular dystrophy, retinal, 2, 608051 (3)","AC133"
"Severe combined immunodeficiency with microcephaly, growth retardation, and sensitivity to ionizing radiation, 611291 (3)","XLF"
"Usher syndrome, type 1B, 276900 (3)","DFNA11"
"[Sarcosinemia], 268900 (3)","SAR"
"Arthrogryposis, distal, type 5, 108145 (3)","DA5"
"Supranuclear palsy, progressive, 2 (2)","PSNP2"
"Left ventricular noncompaction 9, 611878 (3)","CMH3"
"Spinocerebellar ataxia, autosomal recessive 17, 616127 (3)","CWF19L1"
"Growth hormone deficiency, isolated, type II, 173100 (3)","IGHD2"
"Immunodeficiency, X-linked, with magnesium defect, Epstein-Barr virus infection and neoplasia, 300853 (3)","XMEN"
"Retinitis pigmentosa 7 and digenic form, 608133 (3)","RP7"
"{Microvascular complications of diabetes 5}, 612633 (3)","ESA"
"Retinitis pigmentosa 49, 613756 (3)","CNCG1"
"Arthrogryposis multiplex congenita, distal, type 2B, 601680 (3)","DA2B"
"Lissencephaly, X-linked 2, 300215 (3)","MRX43"
"Optic atrophy 1, 165500 (3)","MTDPS14"
"Spermatogenic failure, Y-linked, 1 (4)","SPGFY1"
"Parkinson disease 14, autosomal recessive, 612953 (3)","PARK14"
